,variable,value
16433,ZIP:28318,"Autryville, NC 28318"
16434,ZIP:28320,"Bladenboro, NC 28320"
16435,ZIP:28323,"Bunnlevel, NC 28323"
16436,ZIP:28326,"Cameron, NC 28326"
16437,ZIP:28327,"Carthage, NC 28327"
16438,ZIP:28328,"Clinton, NC 28328"
16439,ZIP:28333,"Dudley, NC 28333"
16440,ZIP:28334,"Dunn, NC 28334"
16441,ZIP:28337,"Elizabethtown, NC 28337"
16442,ZIP:28338,"Ellerbe, NC 28338"
16443,ZIP:28339,"Erwin, NC 28339"
16444,ZIP:28340,"Fairmont, NC 28340"
16445,ZIP:28341,"Faison, NC 28341"
16446,ZIP:28343,"Gibson, NC 28343"
16447,ZIP:28344,"Godwin, NC 28344"
16448,ZIP:28345,"Hamlet, NC 28345"
16449,ZIP:28347,"Hoffman, NC 28347"
16450,ZIP:28348,"Hope Mills, NC 28348"
16451,ZIP:28349,"Kenansville, NC 28349"
16452,ZIP:28351,"Laurel Hill, NC 28351"
16453,ZIP:28352,"Laurinburg, NC 28352"
16454,ZIP:28356,"Linden, NC 28356"
16455,ZIP:28357,"Lumber Bridge, NC 28357"
16456,ZIP:28358,"Lumberton, NC 28358"
16457,ZIP:28360,"Lumberton, NC 28360"
16458,ZIP:28363,"Marston, NC 28363"
16459,ZIP:28364,"Maxton, NC 28364"
16460,ZIP:28365,"Mount Olive, NC 28365"
16461,ZIP:28366,"Newton Grove, NC 28366"
16462,ZIP:28369,"Orrum, NC 28369"
16463,ZIP:28371,"Parkton, NC 28371"
16464,ZIP:28372,"Pembroke, NC 28372"
16465,ZIP:28373,"Pinebluff, NC 28373"
16466,ZIP:28374,"Pinehurst, NC 28374"
16467,ZIP:28376,"Raeford, NC 28376"
16468,ZIP:28377,"Red Springs, NC 28377"
16469,ZIP:28379,"Rockingham, NC 28379"
16470,ZIP:28382,"Roseboro, NC 28382"
16471,ZIP:28383,"Rowland, NC 28383"
16472,ZIP:28384,"Saint Pauls, NC 28384"
16473,ZIP:28385,"Salemburg, NC 28385"
16474,ZIP:28386,"Shannon, NC 28386"
16475,ZIP:28387,"Southern Pines, NC 28387"
16476,ZIP:28390,"Spring Lake, NC 28390"
16477,ZIP:28391,"Stedman, NC 28391"
16478,ZIP:28392,"Tar Heel, NC 28392"
16479,ZIP:28393,"Turkey, NC 28393"
16480,ZIP:28394,"Vass, NC 28394"
16481,ZIP:28395,"Wade, NC 28395"
16482,ZIP:28396,"Wagram, NC 28396"
16483,ZIP:28398,"Warsaw, NC 28398"
16484,ZIP:28399,"White Oak, NC 28399"
16485,ZIP:28401,"Wilmington, NC 28401"
16486,ZIP:28403,"Wilmington, NC 28403"
16487,ZIP:28405,"Wilmington, NC 28405"
16488,ZIP:28409,"Wilmington, NC 28409"
16489,ZIP:28411,"Wilmington, NC 28411"
16490,ZIP:28412,"Wilmington, NC 28412"
16491,ZIP:28420,"Ash, NC 28420"
16492,ZIP:28421,"Atkinson, NC 28421"
16493,ZIP:28422,"Bolivia, NC 28422"
16494,ZIP:28423,"Bolton, NC 28423"
16495,ZIP:28425,"Burgaw, NC 28425"
16496,ZIP:28428,"Carolina Beach, NC 28428"
16497,ZIP:28429,"Castle Hayne, NC 28429"
16498,ZIP:28430,"Cerro Gordo, NC 28430"
16499,ZIP:28431,"Chadbourn, NC 28431"
16500,ZIP:28432,"Clarendon, NC 28432"
16501,ZIP:28433,"Clarkton, NC 28433"
16502,ZIP:28434,"Council, NC 28434"
16503,ZIP:28435,"Currie, NC 28435"
16504,ZIP:28436,"Delco, NC 28436"
16505,ZIP:28438,"Evergreen, NC 28438"
16506,ZIP:28439,"Fair Bluff, NC 28439"
16507,ZIP:28441,"Garland, NC 28441"
16508,ZIP:28442,"Hallsboro, NC 28442"
16509,ZIP:28443,"Hampstead, NC 28443"
16510,ZIP:28444,"Harrells, NC 28444"
16511,ZIP:28445,"Holly Ridge, NC 28445"
16512,ZIP:28447,"Ivanhoe, NC 28447"
16513,ZIP:28448,"Kelly, NC 28448"
16514,ZIP:28449,"Kure Beach, NC 28449"
16515,ZIP:28450,"Lake Waccamaw, NC 28450"
16516,ZIP:28451,"Leland, NC 28451"
16517,ZIP:28452,"Longwood, NC 28452"
16518,ZIP:28453,"Magnolia, NC 28453"
16519,ZIP:28454,"Maple Hill, NC 28454"
16520,ZIP:28455,"Nakina, NC 28455"
16521,ZIP:28456,"Riegelwood, NC 28456"
16522,ZIP:28457,"Rocky Point, NC 28457"
16523,ZIP:28458,"Rose Hill, NC 28458"
16524,ZIP:28460,"Sneads Ferry, NC 28460"
16525,ZIP:28461,"Southport, NC 28461"
16526,ZIP:28462,"Supply, NC 28462"
16527,ZIP:28463,"Tabor City, NC 28463"
16528,ZIP:28464,"Teachey, NC 28464"
16529,ZIP:28465,"Oak Island, NC 28465"
16530,ZIP:28466,"Wallace, NC 28466"
16531,ZIP:28467,"Calabash, NC 28467"
16532,ZIP:28468,"Sunset Beach, NC 28468"
16533,ZIP:28469,"Ocean Isle Beach, NC 28469"
16534,ZIP:28470,"Shallotte, NC 28470"
16535,ZIP:28472,"Whiteville, NC 28472"
16536,ZIP:28478,"Willard, NC 28478"
16537,ZIP:28479,"Winnabow, NC 28479"
16538,ZIP:28480,"Wrightsville Beach, NC 28480"
16539,ZIP:28501,"Kinston, NC 28501"
16540,ZIP:28504,"Kinston, NC 28504"
16541,ZIP:28508,"Albertson, NC 28508"
16542,ZIP:28510,"Arapahoe, NC 28510"
16543,ZIP:28511,"Atlantic, NC 28511"
16544,ZIP:28512,"Atlantic Beach, NC 28512"
16545,ZIP:28513,"Ayden, NC 28513"
16546,ZIP:28515,"Bayboro, NC 28515"
16547,ZIP:28516,"Beaufort, NC 28516"
16548,ZIP:28518,"Beulaville, NC 28518"
16549,ZIP:28520,"Cedar Island, NC 28520"
16550,ZIP:28521,"Chinquapin, NC 28521"
16551,ZIP:28523,"Cove City, NC 28523"
16552,ZIP:28525,"Deep Run, NC 28525"
16553,ZIP:28526,"Dover, NC 28526"
16554,ZIP:28527,"Ernul, NC 28527"
16555,ZIP:28528,"Gloucester, NC 28528"
16556,ZIP:28529,"Grantsboro, NC 28529"
16557,ZIP:28530,"Grifton, NC 28530"
16558,ZIP:28531,"Harkers Island, NC 28531"
16559,ZIP:28532,"Havelock, NC 28532"
16560,ZIP:28537,"Hobucken, NC 28537"
16561,ZIP:28538,"Hookerton, NC 28538"
16562,ZIP:28539,"Hubert, NC 28539"
16563,ZIP:28540,"Jacksonville, NC 28540"
16564,ZIP:28542,"Camp Lejeune, NC 28542"
16565,ZIP:28543,"Tarawa Terrace, NC 28543"
16566,ZIP:28544,"Midway Park, NC 28544"
16567,ZIP:28546,"Jacksonville, NC 28546"
16568,ZIP:28547,"Camp Lejeune, NC 28547"
16569,ZIP:28551,"La Grange, NC 28551"
16570,ZIP:28552,"Lowland, NC 28552"
16571,ZIP:28553,"Marshallberg, NC 28553"
16572,ZIP:28555,"Maysville, NC 28555"
16573,ZIP:28556,"Merritt, NC 28556"
16574,ZIP:28557,"Morehead City, NC 28557"
16575,ZIP:28560,"New Bern, NC 28560"
16576,ZIP:28562,"New Bern, NC 28562"
16577,ZIP:28570,"Newport, NC 28570"
16578,ZIP:28571,"Oriental, NC 28571"
16579,ZIP:28572,"Pink Hill, NC 28572"
16580,ZIP:28573,"Pollocksville, NC 28573"
16581,ZIP:28574,"Richlands, NC 28574"
16582,ZIP:28577,"Sealevel, NC 28577"
16583,ZIP:28578,"Seven Springs, NC 28578"
16584,ZIP:28579,"Smyrna, NC 28579"
16585,ZIP:28580,"Snow Hill, NC 28580"
16586,ZIP:28581,"Stacy, NC 28581"
16587,ZIP:28582,"Stella, NC 28582"
16588,ZIP:28584,"Swansboro, NC 28584"
16589,ZIP:28585,"Trenton, NC 28585"
16590,ZIP:28586,"Vanceboro, NC 28586"
16591,ZIP:28587,"Vandemere, NC 28587"
16592,ZIP:28590,"Winterville, NC 28590"
16593,ZIP:28594,"Emerald Isle, NC 28594"
16594,ZIP:28601,"Hickory, NC 28601"
16595,ZIP:28602,"Hickory, NC 28602"
16596,ZIP:28604,"Banner Elk, NC 28604"
16597,ZIP:28605,"Blowing Rock, NC 28605"
16598,ZIP:28606,"Boomer, NC 28606"
16599,ZIP:28607,"Boone, NC 28607"
16600,ZIP:28608,"Boone, NC 28608"
16601,ZIP:28609,"Catawba, NC 28609"
16602,ZIP:28610,"Claremont, NC 28610"
16603,ZIP:28611,"Collettsville, NC 28611"
16604,ZIP:28612,"Connellys Springs, NC 28612"
16605,ZIP:28613,"Conover, NC 28613"
16606,ZIP:28615,"Creston, NC 28615"
16607,ZIP:28617,"Crumpler, NC 28617"
16608,ZIP:28618,"Deep Gap, NC 28618"
16609,ZIP:28621,"Elkin, NC 28621"
16610,ZIP:28622,"Elk Park, NC 28622"
16611,ZIP:28623,"Ennice, NC 28623"
16612,ZIP:28624,"Ferguson, NC 28624"
16613,ZIP:28625,"Statesville, NC 28625"
16614,ZIP:28626,"Fleetwood, NC 28626"
16615,ZIP:28627,"Glade Valley, NC 28627"
16616,ZIP:28630,"Granite Falls, NC 28630"
16617,ZIP:28631,"Grassy Creek, NC 28631"
16618,ZIP:28634,"Harmony, NC 28634"
16619,ZIP:28635,"Hays, NC 28635"
16620,ZIP:28636,"Hiddenite, NC 28636"
16621,ZIP:28637,"Hildebran, NC 28637"
16622,ZIP:28638,"Hudson, NC 28638"
16623,ZIP:28640,"Jefferson, NC 28640"
16624,ZIP:28642,"Jonesville, NC 28642"
16625,ZIP:28643,"Lansing, NC 28643"
16626,ZIP:28644,"Laurel Springs, NC 28644"
16627,ZIP:28645,"Lenoir, NC 28645"
16628,ZIP:28646,"Linville, NC 28646"
16629,ZIP:28649,"Mc Grady, NC 28649"
16630,ZIP:28650,"Maiden, NC 28650"
16631,ZIP:28651,"Millers Creek, NC 28651"
16632,ZIP:28654,"Moravian Falls, NC 28654"
16633,ZIP:28655,"Morganton, NC 28655"
16634,ZIP:28657,"Newland, NC 28657"
16635,ZIP:28658,"Newton, NC 28658"
16636,ZIP:28659,"North Wilkesboro, NC 28659"
16637,ZIP:28660,"Olin, NC 28660"
16638,ZIP:28663,"Piney Creek, NC 28663"
16639,ZIP:28665,"Purlear, NC 28665"
16640,ZIP:28668,"Roaring Gap, NC 28668"
16641,ZIP:28669,"Roaring River, NC 28669"
16642,ZIP:28670,"Ronda, NC 28670"
16643,ZIP:28672,"Scottville, NC 28672"
16644,ZIP:28673,"Sherrills Ford, NC 28673"
16645,ZIP:28675,"Sparta, NC 28675"
16646,ZIP:28676,"State Road, NC 28676"
16647,ZIP:28677,"Statesville, NC 28677"
16648,ZIP:28678,"Stony Point, NC 28678"
16649,ZIP:28679,"Sugar Grove, NC 28679"
16650,ZIP:28681,"Taylorsville, NC 28681"
16651,ZIP:28682,"Terrell, NC 28682"
16652,ZIP:28683,"Thurmond, NC 28683"
16653,ZIP:28684,"Todd, NC 28684"
16654,ZIP:28685,"Traphill, NC 28685"
16655,ZIP:28689,"Union Grove, NC 28689"
16656,ZIP:28690,"Valdese, NC 28690"
16657,ZIP:28692,"Vilas, NC 28692"
16658,ZIP:28693,"Warrensville, NC 28693"
16659,ZIP:28694,"West Jefferson, NC 28694"
16660,ZIP:28697,"Wilkesboro, NC 28697"
16661,ZIP:28698,"Zionville, NC 28698"
16662,ZIP:28701,"Alexander, NC 28701"
16663,ZIP:28702,"Almond, NC 28702"
16664,ZIP:28704,"Arden, NC 28704"
16665,ZIP:28705,"Bakersville, NC 28705"
16666,ZIP:28707,"Balsam, NC 28707"
16667,ZIP:28708,"Balsam Grove, NC 28708"
16668,ZIP:28709,"Barnardsville, NC 28709"
16669,ZIP:28711,"Black Mountain, NC 28711"
16670,ZIP:28712,"Brevard, NC 28712"
16671,ZIP:28713,"Bryson City, NC 28713"
16672,ZIP:28714,"Burnsville, NC 28714"
16673,ZIP:28715,"Candler, NC 28715"
16674,ZIP:28716,"Canton, NC 28716"
16675,ZIP:28717,"Cashiers, NC 28717"
16676,ZIP:28718,"Cedar Mountain, NC 28718"
16677,ZIP:28719,"Cherokee, NC 28719"
16678,ZIP:28721,"Clyde, NC 28721"
16679,ZIP:28722,"Columbus, NC 28722"
16680,ZIP:28723,"Cullowhee, NC 28723"
16681,ZIP:28726,"East Flat Rock, NC 28726"
16682,ZIP:28729,"Etowah, NC 28729"
16683,ZIP:28730,"Fairview, NC 28730"
16684,ZIP:28731,"Flat Rock, NC 28731"
16685,ZIP:28732,"Fletcher, NC 28732"
16686,ZIP:28733,"Fontana Dam, NC 28733"
16687,ZIP:28734,"Franklin, NC 28734"
16688,ZIP:28735,"Gerton, NC 28735"
16689,ZIP:28736,"Glenville, NC 28736"
16690,ZIP:28739,"Hendersonville, NC 28739"
16691,ZIP:28740,"Green Mountain, NC 28740"
16692,ZIP:28741,"Highlands, NC 28741"
16693,ZIP:28742,"Horse Shoe, NC 28742"
16694,ZIP:28743,"Hot Springs, NC 28743"
16695,ZIP:28745,"Lake Junaluska, NC 28745"
16696,ZIP:28746,"Lake Lure, NC 28746"
16697,ZIP:28747,"Lake Toxaway, NC 28747"
16698,ZIP:28748,"Leicester, NC 28748"
16699,ZIP:28751,"Maggie Valley, NC 28751"
16700,ZIP:28752,"Marion, NC 28752"
16701,ZIP:28753,"Marshall, NC 28753"
16702,ZIP:28754,"Mars Hill, NC 28754"
16703,ZIP:28756,"Mill Spring, NC 28756"
16704,ZIP:28759,"Mills River, NC 28759"
16705,ZIP:28761,"Nebo, NC 28761"
16706,ZIP:28762,"Old Fort, NC 28762"
16707,ZIP:28763,"Otto, NC 28763"
16708,ZIP:28766,"Penrose, NC 28766"
16709,ZIP:28768,"Pisgah Forest, NC 28768"
16710,ZIP:28771,"Robbinsville, NC 28771"
16711,ZIP:28772,"Rosman, NC 28772"
16712,ZIP:28773,"Saluda, NC 28773"
16713,ZIP:28774,"Sapphire, NC 28774"
16714,ZIP:28775,"Scaly Mountain, NC 28775"
16715,ZIP:28777,"Spruce Pine, NC 28777"
16716,ZIP:28778,"Swannanoa, NC 28778"
16717,ZIP:28779,"Sylva, NC 28779"
16718,ZIP:28781,"Topton, NC 28781"
16719,ZIP:28782,"Tryon, NC 28782"
16720,ZIP:28783,"Tuckasegee, NC 28783"
16721,ZIP:28785,"Waynesville, NC 28785"
16722,ZIP:28786,"Waynesville, NC 28786"
16723,ZIP:28787,"Weaverville, NC 28787"
16724,ZIP:28789,"Whittier, NC 28789"
16725,ZIP:28790,"Zirconia, NC 28790"
16726,ZIP:28791,"Hendersonville, NC 28791"
16727,ZIP:28792,"Hendersonville, NC 28792"
16728,ZIP:28801,"Asheville, NC 28801"
16729,ZIP:28803,"Asheville, NC 28803"
16730,ZIP:28804,"Asheville, NC 28804"
16731,ZIP:28805,"Asheville, NC 28805"
16732,ZIP:28806,"Asheville, NC 28806"
16733,ZIP:28901,"Andrews, NC 28901"
16734,ZIP:28902,"Brasstown, NC 28902"
16735,ZIP:28904,"Hayesville, NC 28904"
16736,ZIP:28905,"Marble, NC 28905"
16737,ZIP:28906,"Murphy, NC 28906"
16738,ZIP:28909,"Warne, NC 28909"
16739,ZIP:29001,"Alcolu, SC 29001"
16740,ZIP:29003,"Bamberg, SC 29003"
16741,ZIP:29006,"Batesburg, SC 29006"
16742,ZIP:29009,"Bethune, SC 29009"
16743,ZIP:29010,"Bishopville, SC 29010"
16744,ZIP:29014,"Blackstock, SC 29014"
16745,ZIP:29015,"Blair, SC 29015"
16746,ZIP:29016,"Blythewood, SC 29016"
16747,ZIP:29018,"Bowman, SC 29018"
16748,ZIP:29020,"Camden, SC 29020"
16749,ZIP:29030,"Cameron, SC 29030"
16750,ZIP:29031,"Carlisle, SC 29031"
16751,ZIP:29032,"Cassatt, SC 29032"
16752,ZIP:29033,"Cayce, SC 29033"
16753,ZIP:29036,"Chapin, SC 29036"
16754,ZIP:29037,"Chappells, SC 29037"
16755,ZIP:29038,"Cope, SC 29038"
16756,ZIP:29039,"Cordova, SC 29039"
16757,ZIP:29040,"Dalzell, SC 29040"
16758,ZIP:29042,"Denmark, SC 29042"
16759,ZIP:29044,"Eastover, SC 29044"
16760,ZIP:29045,"Elgin, SC 29045"
16761,ZIP:29046,"Elliott, SC 29046"
16762,ZIP:29047,"Elloree, SC 29047"
16763,ZIP:29048,"Eutawville, SC 29048"
16764,ZIP:29051,"Gable, SC 29051"
16765,ZIP:29052,"Gadsden, SC 29052"
16766,ZIP:29053,"Gaston, SC 29053"
16767,ZIP:29054,"Gilbert, SC 29054"
16768,ZIP:29055,"Great Falls, SC 29055"
16769,ZIP:29056,"Greeleyville, SC 29056"
16770,ZIP:29058,"Heath Springs, SC 29058"
16771,ZIP:29059,"Holly Hill, SC 29059"
16772,ZIP:29061,"Hopkins, SC 29061"
16773,ZIP:29063,"Irmo, SC 29063"
16774,ZIP:29065,"Jenkinsville, SC 29065"
16775,ZIP:29067,"Kershaw, SC 29067"
16776,ZIP:29069,"Lamar, SC 29069"
16777,ZIP:29070,"Leesville, SC 29070"
16778,ZIP:29072,"Lexington, SC 29072"
16779,ZIP:29073,"Lexington, SC 29073"
16780,ZIP:29075,"Little Mountain, SC 29075"
16781,ZIP:29078,"Lugoff, SC 29078"
16782,ZIP:29080,"Lynchburg, SC 29080"
16783,ZIP:29081,"Ehrhardt, SC 29081"
16784,ZIP:29082,"Lodge, SC 29082"
16785,ZIP:29101,"Mc Bee, SC 29101"
16786,ZIP:29102,"Manning, SC 29102"
16787,ZIP:29104,"Mayesville, SC 29104"
16788,ZIP:29105,"Monetta, SC 29105"
16789,ZIP:29107,"Neeses, SC 29107"
16790,ZIP:29108,"Newberry, SC 29108"
16791,ZIP:29111,"New Zion, SC 29111"
16792,ZIP:29112,"North, SC 29112"
16793,ZIP:29113,"Norway, SC 29113"
16794,ZIP:29114,"Olanta, SC 29114"
16795,ZIP:29115,"Orangeburg, SC 29115"
16796,ZIP:29117,"Orangeburg, SC 29117"
16797,ZIP:29118,"Orangeburg, SC 29118"
16798,ZIP:29123,"Pelion, SC 29123"
16799,ZIP:29125,"Pinewood, SC 29125"
16800,ZIP:29126,"Pomaria, SC 29126"
16801,ZIP:29127,"Prosperity, SC 29127"
16802,ZIP:29128,"Rembert, SC 29128"
16803,ZIP:29129,"Ridge Spring, SC 29129"
16804,ZIP:29130,"Ridgeway, SC 29130"
16805,ZIP:29133,"Rowesville, SC 29133"
16806,ZIP:29135,"Saint Matthews, SC 29135"
16807,ZIP:29137,"Salley, SC 29137"
16808,ZIP:29138,"Saluda, SC 29138"
16809,ZIP:29142,"Santee, SC 29142"
16810,ZIP:29145,"Silverstreet, SC 29145"
16811,ZIP:29146,"Springfield, SC 29146"
16812,ZIP:29148,"Summerton, SC 29148"
16813,ZIP:29150,"Sumter, SC 29150"
16814,ZIP:29152,"Shaw AFB, SC 29152"
16815,ZIP:29153,"Sumter, SC 29153"
16816,ZIP:29154,"Sumter, SC 29154"
16817,ZIP:29160,"Swansea, SC 29160"
16818,ZIP:29161,"Timmonsville, SC 29161"
16819,ZIP:29162,"Turbeville, SC 29162"
16820,ZIP:29163,"Vance, SC 29163"
16821,ZIP:29164,"Wagener, SC 29164"
16822,ZIP:29166,"Ward, SC 29166"
16823,ZIP:29168,"Wedgefield, SC 29168"
16824,ZIP:29169,"West Columbia, SC 29169"
16825,ZIP:29170,"West Columbia, SC 29170"
16826,ZIP:29172,"West Columbia, SC 29172"
16827,ZIP:29175,"Westville, SC 29175"
16828,ZIP:29178,"Whitmire, SC 29178"
16829,ZIP:29180,"Winnsboro, SC 29180"
16830,ZIP:29201,"Columbia, SC 29201"
16831,ZIP:29203,"Columbia, SC 29203"
16832,ZIP:29204,"Columbia, SC 29204"
16833,ZIP:29205,"Columbia, SC 29205"
16834,ZIP:29206,"Columbia, SC 29206"
16835,ZIP:29207,"Columbia, SC 29207"
16836,ZIP:29208,"Columbia, SC 29208"
16837,ZIP:29209,"Columbia, SC 29209"
16838,ZIP:29210,"Columbia, SC 29210"
16839,ZIP:29212,"Columbia, SC 29212"
16840,ZIP:29223,"Columbia, SC 29223"
16841,ZIP:29229,"Columbia, SC 29229"
16842,ZIP:29301,"Spartanburg, SC 29301"
16843,ZIP:29302,"Spartanburg, SC 29302"
16844,ZIP:29303,"Spartanburg, SC 29303"
16845,ZIP:29306,"Spartanburg, SC 29306"
16846,ZIP:29307,"Spartanburg, SC 29307"
16847,ZIP:29316,"Boiling Springs, SC 29316"
16848,ZIP:29321,"Buffalo, SC 29321"
16849,ZIP:29322,"Campobello, SC 29322"
16850,ZIP:29323,"Chesnee, SC 29323"
16851,ZIP:29325,"Clinton, SC 29325"
16852,ZIP:29330,"Cowpens, SC 29330"
16853,ZIP:29332,"Cross Hill, SC 29332"
16854,ZIP:29334,"Duncan, SC 29334"
16855,ZIP:29335,"Enoree, SC 29335"
16856,ZIP:29340,"Gaffney, SC 29340"
16857,ZIP:29341,"Gaffney, SC 29341"
16858,ZIP:29349,"Inman, SC 29349"
16859,ZIP:29351,"Joanna, SC 29351"
16860,ZIP:29353,"Jonesville, SC 29353"
16861,ZIP:29355,"Kinards, SC 29355"
16862,ZIP:29356,"Landrum, SC 29356"
16863,ZIP:29360,"Laurens, SC 29360"
16864,ZIP:29365,"Lyman, SC 29365"
16865,ZIP:29369,"Moore, SC 29369"
16866,ZIP:29370,"Mountville, SC 29370"
16867,ZIP:29372,"Pacolet, SC 29372"
16868,ZIP:29374,"Pauline, SC 29374"
16869,ZIP:29376,"Roebuck, SC 29376"
16870,ZIP:29379,"Union, SC 29379"
16871,ZIP:29384,"Waterloo, SC 29384"
16872,ZIP:29385,"Wellford, SC 29385"
16873,ZIP:29388,"Woodruff, SC 29388"
16874,ZIP:29401,"Charleston, SC 29401"
16875,ZIP:29403,"Charleston, SC 29403"
16876,ZIP:29404,"Charleston AFB, SC 29404"
16877,ZIP:29405,"North Charleston, SC 29405"
16878,ZIP:29406,"Charleston, SC 29406"
16879,ZIP:29407,"Charleston, SC 29407"
16880,ZIP:29410,"Hanahan, SC 29410"
16881,ZIP:29412,"Charleston, SC 29412"
16882,ZIP:29414,"Charleston, SC 29414"
16883,ZIP:29418,"North Charleston, SC 29418"
16884,ZIP:29420,"North Charleston, SC 29420"
16885,ZIP:29424,"Charleston, SC 29424"
16886,ZIP:29425,"Charleston, SC 29425"
16887,ZIP:29426,"Adams Run, SC 29426"
16888,ZIP:29429,"Awendaw, SC 29429"
16889,ZIP:29431,"Bonneau, SC 29431"
16890,ZIP:29432,"Branchville, SC 29432"
16891,ZIP:29434,"Cordesville, SC 29434"
16892,ZIP:29435,"Cottageville, SC 29435"
16893,ZIP:29436,"Cross, SC 29436"
16894,ZIP:29437,"Dorchester, SC 29437"
16895,ZIP:29438,"Edisto Island, SC 29438"
16896,ZIP:29440,"Georgetown, SC 29440"
16897,ZIP:29445,"Goose Creek, SC 29445"
16898,ZIP:29446,"Green Pond, SC 29446"
16899,ZIP:29448,"Harleyville, SC 29448"
16900,ZIP:29449,"Hollywood, SC 29449"
16901,ZIP:29450,"Huger, SC 29450"
16902,ZIP:29451,"Isle of Palms, SC 29451"
16903,ZIP:29453,"Jamestown, SC 29453"
16904,ZIP:29455,"Johns Island, SC 29455"
16905,ZIP:29456,"Ladson, SC 29456"
16906,ZIP:29458,"Mc Clellanville, SC 29458"
16907,ZIP:29461,"Moncks Corner, SC 29461"
16908,ZIP:29464,"Mount Pleasant, SC 29464"
16909,ZIP:29466,"Mount Pleasant, SC 29466"
16910,ZIP:29468,"Pineville, SC 29468"
16911,ZIP:29469,"Pinopolis, SC 29469"
16912,ZIP:29470,"Ravenel, SC 29470"
16913,ZIP:29471,"Reevesville, SC 29471"
16914,ZIP:29472,"Ridgeville, SC 29472"
16915,ZIP:29474,"Round O, SC 29474"
16916,ZIP:29475,"Ruffin, SC 29475"
16917,ZIP:29477,"Saint George, SC 29477"
16918,ZIP:29479,"Saint Stephen, SC 29479"
16919,ZIP:29481,"Smoaks, SC 29481"
16920,ZIP:29482,"Sullivans Island, SC 29482"
16921,ZIP:29483,"Summerville, SC 29483"
16922,ZIP:29485,"Summerville, SC 29485"
16923,ZIP:29487,"Wadmalaw Island, SC 29487"
16924,ZIP:29488,"Walterboro, SC 29488"
16925,ZIP:29492,"Charleston, SC 29492"
16926,ZIP:29501,"Florence, SC 29501"
16927,ZIP:29505,"Florence, SC 29505"
16928,ZIP:29506,"Florence, SC 29506"
16929,ZIP:29510,"Andrews, SC 29510"
16930,ZIP:29511,"Aynor, SC 29511"
16931,ZIP:29512,"Bennettsville, SC 29512"
16932,ZIP:29516,"Blenheim, SC 29516"
16933,ZIP:29518,"Cades, SC 29518"
16934,ZIP:29520,"Cheraw, SC 29520"
16935,ZIP:29525,"Clio, SC 29525"
16936,ZIP:29526,"Conway, SC 29526"
16937,ZIP:29527,"Conway, SC 29527"
16938,ZIP:29530,"Coward, SC 29530"
16939,ZIP:29532,"Darlington, SC 29532"
16940,ZIP:29536,"Dillon, SC 29536"
16941,ZIP:29540,"Darlington, SC 29540"
16942,ZIP:29541,"Effingham, SC 29541"
16943,ZIP:29543,"Fork, SC 29543"
16944,ZIP:29544,"Galivants Ferry, SC 29544"
16945,ZIP:29545,"Green Sea, SC 29545"
16946,ZIP:29546,"Gresham, SC 29546"
16947,ZIP:29547,"Hamer, SC 29547"
16948,ZIP:29550,"Hartsville, SC 29550"
16949,ZIP:29554,"Hemingway, SC 29554"
16950,ZIP:29555,"Johnsonville, SC 29555"
16951,ZIP:29556,"Kingstree, SC 29556"
16952,ZIP:29560,"Lake City, SC 29560"
16953,ZIP:29563,"Lake View, SC 29563"
16954,ZIP:29564,"Lane, SC 29564"
16955,ZIP:29565,"Latta, SC 29565"
16956,ZIP:29566,"Little River, SC 29566"
16957,ZIP:29567,"Little Rock, SC 29567"
16958,ZIP:29568,"Longs, SC 29568"
16959,ZIP:29569,"Loris, SC 29569"
16960,ZIP:29570,"Mc Coll, SC 29570"
16961,ZIP:29571,"Marion, SC 29571"
16962,ZIP:29572,"Myrtle Beach, SC 29572"
16963,ZIP:29574,"Mullins, SC 29574"
16964,ZIP:29575,"Myrtle Beach, SC 29575"
16965,ZIP:29576,"Murrells Inlet, SC 29576"
16966,ZIP:29577,"Myrtle Beach, SC 29577"
16967,ZIP:29579,"Myrtle Beach, SC 29579"
16968,ZIP:29580,"Nesmith, SC 29580"
16969,ZIP:29581,"Nichols, SC 29581"
16970,ZIP:29582,"North Myrtle Beach, SC 29582"
16971,ZIP:29583,"Pamplico, SC 29583"
16972,ZIP:29584,"Patrick, SC 29584"
16973,ZIP:29585,"Pawleys Island, SC 29585"
16974,ZIP:29588,"Myrtle Beach, SC 29588"
16975,ZIP:29590,"Salters, SC 29590"
16976,ZIP:29591,"Scranton, SC 29591"
16977,ZIP:29592,"Sellers, SC 29592"
16978,ZIP:29593,"Society Hill, SC 29593"
16979,ZIP:29596,"Wallace, SC 29596"
16980,ZIP:29601,"Greenville, SC 29601"
16981,ZIP:29605,"Greenville, SC 29605"
16982,ZIP:29607,"Greenville, SC 29607"
16983,ZIP:29609,"Greenville, SC 29609"
16984,ZIP:29611,"Greenville, SC 29611"
16985,ZIP:29613,"Greenville, SC 29613"
16986,ZIP:29615,"Greenville, SC 29615"
16987,ZIP:29617,"Greenville, SC 29617"
16988,ZIP:29620,"Abbeville, SC 29620"
16989,ZIP:29621,"Anderson, SC 29621"
16990,ZIP:29624,"Anderson, SC 29624"
16991,ZIP:29625,"Anderson, SC 29625"
16992,ZIP:29626,"Anderson, SC 29626"
16993,ZIP:29627,"Belton, SC 29627"
16994,ZIP:29628,"Calhoun Falls, SC 29628"
16995,ZIP:29630,"Central, SC 29630"
